row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5484,2024-12-30T16:43:00+00:00,635,1487
summary,2025-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5628,2024-12-30T17:48:00+00:00,612,1636
summary,2025-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5464,2024-12-30T17:28:00+00:00,428,1297
summary,2025-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7698,2024-12-30T14:50:00+00:00,789,1896
summary,2025-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5531,2024-12-30T17:45:00+00:00,433,1112
summary,2025-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5824,2024-12-30T16:43:00+00:00,884,1910
summary,2025-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5904,2024-12-30T16:42:00+00:00,757,2023
summary,2025-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5445,2024-12-30T17:28:00+00:00,421,1742
trade,2025-01-02,NVDA,Long,2025-01-02T15:01:00+00:00,2025-01-02T15:56:00+00:00,137.3662,137.5437,2.18,0.39,0.001292,3300000,SessionClose,0.4977,0.1765,0.5110,0.5506,0.3876,0.4109,0.0208,0.4097,,,
trade,2025-01-02,NVDA,Long,2025-01-02T15:58:00+00:00,2025-01-02T15:59:00+00:00,137.5462,137.3638,2.18,-0.40,-0.001327,60000,SessionClose,0.1490,0.1255,0.1362,0.0208,0.4097,-0.0588,0.0208,0.3963,,,
summary,2025-01-02,NVDA,,,,,,,-0.01,,2,,,,,,,,,,1.0000,2024-12-30T14:38:00+00:00,1133,2290
summary,2025-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6494,2024-12-30T15:44:00+00:00,535,1543
summary,2025-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4252,2025-01-02T09:23:00+00:00,72,1837
summary,2025-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4684,2025-01-02T09:07:00+00:00,505,1569
trade,2025-01-06,SPY,Long,2025-01-06T15:58:00+00:00,2025-01-06T15:59:00+00:00,599.0947,598.7253,0.50,-0.19,-0.000617,60000,SessionClose,0.1775,0.1811,0.0272,0.0504,0.4817,0.0628,0.0504,0.4817,,,
summary,2025-01-06,SPY,,,,,,,-0.19,,1,,,,,,,,,,0.7431,2025-01-03T16:03:00+00:00,980,1171
summary,2025-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7286,2025-01-03T14:39:00+00:00,1055,1237
trade,2025-01-06,AAPL,Long,2025-01-06T14:31:00+00:00,2025-01-06T15:56:00+00:00,244.9335,246.1391,1.23,1.48,0.004922,5100000,SessionClose,0.4077,0.3922,0.5197,0.3784,0.4291,0.3724,0.3256,0.5320,,,
trade,2025-01-06,AAPL,Long,2025-01-06T15:58:00+00:00,2025-01-06T15:59:00+00:00,246.2288,246.2111,1.22,-0.02,-0.000072,60000,SessionClose,0.3516,0.3962,-0.0339,0.3256,0.5320,0.4120,0.3256,0.5320,,,
summary,2025-01-06,AAPL,,,,,,,1.46,,2,,,,,,,,,,0.8627,2025-01-03T14:43:00+00:00,693,1144
trade,2025-01-06,NVDA,Long,2025-01-06T15:29:00+00:00,2025-01-06T15:56:00+00:00,151.6565,151.8194,1.98,0.32,0.001075,1620000,SessionClose,0.6038,0.3227,0.5145,0.4748,0.8913,0.4168,0.0227,0.8913,,,
trade,2025-01-06,NVDA,Long,2025-01-06T15:58:00+00:00,2025-01-06T15:59:00+00:00,151.8846,151.6395,1.98,-0.49,-0.001613,60000,SessionClose,0.3132,0.2732,0.3219,0.0227,0.8913,-0.0785,0.0227,0.8913,,,
summary,2025-01-06,NVDA,,,,,,,-0.16,,2,,,,,,,,,,1.0000,2025-01-03T14:32:00+00:00,1296,1351
trade,2025-01-06,MSFT,Long,2025-01-06T15:58:00+00:00,2025-01-06T15:59:00+00:00,432.0546,432.0054,0.70,-0.03,-0.000114,60000,SessionClose,0.1622,0.2075,-0.1422,0.0042,0.5797,0.3101,0.0042,0.5797,,,
summary,2025-01-06,MSFT,,,,,,,-0.03,,1,,,,,,,,,,0.7559,2025-01-03T15:04:00+00:00,720,1044
summary,2025-01-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7280,2025-01-06T10:19:00+00:00,521,1426
summary,2025-01-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5863,2025-01-06T16:06:00+00:00,397,1384
summary,2025-01-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9246,2025-01-06T10:22:00+00:00,393,1188
summary,2025-01-08,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7280,2025-01-06T10:19:00+00:00,521,2255
summary,2025-01-08,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7862,2025-01-06T10:22:00+00:00,728,2410
summary,2025-01-08,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5863,2025-01-06T16:06:00+00:00,440,2088
summary,2025-01-08,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8922,2025-01-06T09:53:00+00:00,1137,2641
summary,2025-01-09,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8293,2025-01-06T15:45:00+00:00,376,2290
summary,2025-01-09,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9551,2025-01-06T15:45:00+00:00,238,1944
summary,2025-01-09,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9373,2025-01-06T14:43:00+00:00,305,1622
summary,2025-01-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.2812,2025-01-08T09:03:00+00:00,312,2021
summary,2025-01-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3546,2025-01-07T14:52:00+00:00,265,2086
summary,2025-01-10,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.4224,2025-01-08T15:03:00+00:00,218,2311
summary,2025-01-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5984,2025-01-07T14:57:00+00:00,463,1537
