row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2022-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4661,2022-01-03T10:38:00+00:00,633,1128
trade,2022-01-03,QQQ,Long,2022-01-03T14:36:00+00:00,2022-01-03T14:46:00+00:00,400.4251,400.0150,0.75,-0.31,-0.001024,600000,ScoreExit,0.3607,-0.1138,0.4512,0.3498,0.3525,-0.5059,-0.2568,0.3029,,,
summary,2022-01-03,QQQ,,,,,,,-0.31,,1,,,,,,,,,,0.4075,2022-01-03T18:44:00+00:00,538,1105
trade,2022-01-03,AAPL,Long,2022-01-03T14:31:00+00:00,2022-01-03T15:56:00+00:00,178.1084,180.8857,1.68,4.68,0.015593,5100000,SessionClose,0.3886,0.1042,0.4548,0.3824,0.3790,-0.3346,-0.0659,0.5907,,,
summary,2022-01-03,AAPL,,,,,,,4.68,,1,,,,,,,,,,0.5734,2022-01-03T14:41:00+00:00,597,1134
trade,2022-01-03,NVDA,Long,2022-01-03T15:58:00+00:00,2022-01-03T15:59:00+00:00,305.2315,304.8835,0.94,-0.33,-0.001140,60000,SessionClose,0.4794,0.4542,0.3478,0.3169,0.8482,0.0961,0.3169,0.8482,,,
summary,2022-01-03,NVDA,,,,,,,-0.33,,1,,,,,,,,,,1.0000,2021-12-31T14:41:00+00:00,543,1076
summary,2022-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5132,2022-01-03T09:03:00+00:00,273,966
summary,2022-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7453,2022-01-03T10:30:00+00:00,876,1485
summary,2022-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7302,2022-01-03T10:22:00+00:00,773,1449
summary,2022-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6898,2022-01-03T14:41:00+00:00,916,1527
summary,2022-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7835,2022-01-03T14:35:00+00:00,557,1357
summary,2022-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5301,2022-01-03T11:01:00+00:00,386,1154
summary,2022-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7453,2022-01-03T10:30:00+00:00,1013,2336
summary,2022-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7302,2022-01-03T10:22:00+00:00,773,2270
summary,2022-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6898,2022-01-03T14:41:00+00:00,916,2311
summary,2022-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7835,2022-01-03T14:35:00+00:00,557,2135
summary,2022-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5301,2022-01-03T11:01:00+00:00,386,1745
summary,2022-01-06,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4812,2022-01-03T14:37:00+00:00,1056,2996
summary,2022-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6862,2022-01-03T14:37:00+00:00,681,2922
summary,2022-01-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-03T14:36:00+00:00,842,2962
trade,2022-01-06,NVDA,Long,2022-01-06T15:56:00+00:00,2022-01-06T15:57:00+00:00,280.2791,280.2409,0.63,-0.02,-0.000136,60000,SessionClose,0.4182,0.4352,0.3509,0.5782,0.1206,0.5203,0.5782,0.1206,,,
summary,2022-01-06,NVDA,,,,,,,-0.02,,1,,,,,,,,,,1.0000,2022-01-03T14:31:00+00:00,550,2765
summary,2022-01-06,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6808,2022-01-03T14:31:00+00:00,386,2340
