row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
trade,2024-01-08,QQQ,Long,2024-01-08T15:54:00+00:00,2024-01-08T15:55:00+00:00,401.7305,401.4545,0.75,-0.21,-0.000687,60000,ScoreExit,0.1652,0.1522,0.0760,0.0045,0.5163,-0.0540,0.0045,0.5163,,,
summary,2024-01-08,QQQ,,,,,,,-4.18,,26,,,,,,,,,,0.8122,2024-01-05T15:55:00+00:00,592,1185
trade,2024-01-08,AAPL,Long,2024-01-08T14:38:00+00:00,2024-01-08T14:39:00+00:00,182.2547,182.2690,1.65,0.02,0.000079,60000,ScoreExit,0.4307,0.4592,0.4011,0.3603,0.5814,0.5441,0.3603,0.6288,,,
trade,2024-01-08,AAPL,Long,2024-01-08T14:45:00+00:00,2024-01-08T14:46:00+00:00,182.9849,183.0001,1.64,0.02,0.000083,60000,ScoreExit,0.3983,0.3844,0.4255,0.2642,0.6576,0.5340,0.2229,0.6576,,,
trade,2024-01-08,AAPL,Long,2024-01-08T14:49:00+00:00,2024-01-08T14:50:00+00:00,183.0268,182.7502,1.64,-0.45,-0.001511,60000,ScoreExit,0.3551,0.3248,0.2407,0.2229,0.6576,-0.0623,0.2229,0.6576,,,
trade,2024-01-08,AAPL,Long,2024-01-08T14:52:00+00:00,2024-01-08T14:53:00+00:00,182.8298,182.6152,1.64,-0.35,-0.001174,60000,ScoreExit,0.3242,0.3028,-0.0998,0.2281,0.6576,-0.3134,0.2281,0.6576,,,
trade,2024-01-08,AAPL,Long,2024-01-08T14:55:00+00:00,2024-01-08T14:56:00+00:00,182.7997,182.8301,1.64,0.05,0.000166,60000,ScoreExit,0.3245,0.4829,-0.0965,0.2281,0.6576,0.2871,0.4281,0.6576,,,
trade,2024-01-08,AAPL,Long,2024-01-08T14:58:00+00:00,2024-01-08T14:59:00+00:00,183.1599,183.2663,1.64,0.17,0.000581,60000,ScoreExit,0.5039,0.5093,0.4977,0.4281,0.6576,0.5511,0.4281,0.6576,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:01:00+00:00,2024-01-08T15:02:00+00:00,183.5651,183.4001,1.63,-0.27,-0.000899,60000,ScoreExit,0.5277,0.5258,0.5675,0.4927,0.5846,0.5479,0.4927,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:04:00+00:00,2024-01-08T15:05:00+00:00,183.8051,183.7998,1.63,-0.01,-0.000029,60000,ScoreExit,0.5268,0.5287,0.5584,0.4927,0.5846,0.5770,0.4927,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:08:00+00:00,2024-01-08T15:09:00+00:00,183.7201,183.6281,1.63,-0.15,-0.000501,60000,ScoreExit,0.4172,0.4182,0.2730,0.3576,0.5846,0.2827,0.3576,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:11:00+00:00,2024-01-08T15:12:00+00:00,183.6801,183.4300,1.63,-0.41,-0.001362,60000,ScoreExit,0.2776,0.2495,-0.0308,0.1755,0.5846,-0.3122,0.1755,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:14:00+00:00,2024-01-08T15:15:00+00:00,183.3986,183.3216,1.64,-0.13,-0.000420,60000,ScoreExit,0.2246,0.2344,-0.5605,0.1755,0.5846,-0.4627,0.1755,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:17:00+00:00,2024-01-08T15:18:00+00:00,183.5801,183.5499,1.63,-0.05,-0.000164,60000,ScoreExit,0.3586,0.3882,0.0290,0.3005,0.5846,0.3255,0.3005,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:20:00+00:00,2024-01-08T15:21:00+00:00,183.6601,183.6549,1.63,-0.01,-0.000028,60000,ScoreExit,0.3775,0.4276,0.2184,0.3005,0.5846,0.4820,0.3400,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:25:00+00:00,2024-01-08T15:26:00+00:00,183.8501,183.6869,1.63,-0.27,-0.000888,60000,ScoreExit,0.4163,0.3735,0.3695,0.3400,0.5846,0.1739,0.3012,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:28:00+00:00,2024-01-08T15:29:00+00:00,183.8191,183.7563,1.63,-0.10,-0.000342,60000,ScoreExit,0.3680,0.3872,0.1197,0.3012,0.5846,0.3117,0.3012,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:31:00+00:00,2024-01-08T15:32:00+00:00,183.8488,183.7199,1.63,-0.21,-0.000702,60000,ScoreExit,0.3070,0.3035,0.1574,0.1931,0.5846,0.1222,0.1931,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:34:00+00:00,2024-01-08T15:35:00+00:00,183.7251,183.6599,1.63,-0.11,-0.000355,60000,ScoreExit,0.2535,0.2701,-0.3772,0.1931,0.5846,-0.2116,0.1931,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:37:00+00:00,2024-01-08T15:38:00+00:00,183.6451,183.3950,1.63,-0.41,-0.001362,60000,ScoreExit,0.1919,0.1898,-0.5228,0.1147,0.5846,-0.5436,0.1147,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:40:00+00:00,2024-01-08T15:41:00+00:00,183.6500,183.5099,1.63,-0.23,-0.000763,60000,ScoreExit,0.2388,0.1434,-0.0540,0.1147,0.5846,-0.1507,-0.0282,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:46:00+00:00,2024-01-08T15:47:00+00:00,183.5701,183.4999,1.63,-0.11,-0.000382,60000,ScoreExit,0.1647,0.1957,-0.2761,0.0282,0.5846,0.0346,0.0282,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:49:00+00:00,2024-01-08T15:50:00+00:00,183.6402,183.5799,1.63,-0.10,-0.000328,60000,ScoreExit,0.2042,0.2457,0.1192,0.0282,0.5846,0.5338,0.0282,0.5846,,,
trade,2024-01-08,AAPL,Long,2024-01-08T15:52:00+00:00,2024-01-08T15:53:00+00:00,183.6589,183.5999,1.63,-0.10,-0.000321,60000,ScoreExit,0.2306,0.2436,0.2299,0.0537,0.5846,0.3595,0.0537,0.5846,,,
summary,2024-01-08,AAPL,,,,,,,-3.19,,22,,,,,,,,,,0.7314,2024-01-05T15:59:00+00:00,585,1170
trade,2024-01-08,NVDA,Long,2024-01-08T14:31:00+00:00,2024-01-08T14:32:00+00:00,497.0641,497.2758,0.60,0.13,0.000426,60000,ScoreExit,0.6270,0.6185,0.5571,0.4543,0.9958,0.4717,0.4543,0.9958,,,
trade,2024-01-08,NVDA,Long,2024-01-08T14:34:00+00:00,2024-01-08T14:35:00+00:00,499.8349,499.4151,0.60,-0.25,-0.000840,60000,ScoreExit,0.6388,0.6340,0.6750,0.4543,0.9958,0.6264,0.4543,0.9958,,,
trade,2024-01-08,NVDA,Long,2024-01-08T14:37:00+00:00,2024-01-08T14:38:00+00:00,498.7699,501.1308,0.53,1.25,0.004734,60000,ScoreExit,0.7559,0.7890,0.3166,0.7092,0.9958,0.6474,0.7092,0.9958,,,
trade,2024-01-08,NVDA,Long,2024-01-08T14:40:00+00:00,2024-01-08T14:41:00+00:00,503.7561,504.7435,0.52,0.52,0.001960,60000,ScoreExit,0.7946,0.9722,0.7028,0.7092,0.9958,0.7407,0.9990,0.9958,,,
trade,2024-01-08,NVDA,Long,2024-01-08T14:43:00+00:00,2024-01-08T15:56:00+00:00,506.1178,514.2707,0.42,3.42,0.016109,4380000,SessionClose,0.9668,0.2765,0.6868,0.9990,0.9958,0.2137,-0.0080,0.8663,,,
summary,2024-01-08,NVDA,,,,,,,5.06,,5,,,,,,,,,,0.9755,2024-01-08T14:41:00+00:00,910,1162
trade,2024-01-08,MSFT,Long,2024-01-08T14:36:00+00:00,2024-01-08T14:37:00+00:00,369.9159,369.4842,0.81,-0.35,-0.001167,60000,ScoreExit,0.3622,0.3082,0.3997,0.3812,0.3116,-0.0261,0.3812,0.2735,,,
trade,2024-01-08,MSFT,Long,2024-01-08T14:39:00+00:00,2024-01-08T14:40:00+00:00,370.0460,369.8790,0.81,-0.14,-0.000451,60000,ScoreExit,0.3659,0.3795,0.3917,0.3812,0.3268,0.4901,0.3812,0.3391,,,
trade,2024-01-08,MSFT,Long,2024-01-08T14:42:00+00:00,2024-01-08T14:43:00+00:00,370.1960,370.1439,0.81,-0.04,-0.000141,60000,ScoreExit,0.3744,0.3843,0.4517,0.3743,0.3489,0.4455,0.3743,0.3839,,,
trade,2024-01-08,MSFT,Long,2024-01-08T14:45:00+00:00,2024-01-08T14:46:00+00:00,370.4411,370.6138,0.81,0.14,0.000466,60000,ScoreExit,0.3832,0.4210,0.4230,0.3743,0.3880,0.5708,0.3744,0.4644,,,
trade,2024-01-08,MSFT,Long,2024-01-08T14:48:00+00:00,2024-01-08T14:49:00+00:00,370.7812,370.3492,0.81,-0.35,-0.001165,60000,ScoreExit,0.4096,0.3513,0.4744,0.3744,0.4584,0.0336,0.3744,0.4110,,,
trade,2024-01-08,MSFT,Long,2024-01-08T15:00:00+00:00,2024-01-08T15:01:00+00:00,370.6762,370.3838,0.81,-0.24,-0.000789,60000,ScoreExit,0.4032,0.3746,0.3984,0.3922,0.4268,0.2119,0.3994,0.3792,,,
