row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6204,2024-12-30T16:43:00+00:00,638,1487
summary,2025-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6107,2024-12-30T16:42:00+00:00,602,1636
summary,2025-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5601,2024-12-30T17:28:00+00:00,425,1297
summary,2025-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7924,2024-12-30T14:51:00+00:00,789,1896
summary,2025-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5826,2024-12-30T17:45:00+00:00,429,1112
summary,2025-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5836,2024-12-30T16:43:00+00:00,869,1910
summary,2025-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5915,2024-12-30T16:42:00+00:00,739,2023
summary,2025-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5537,2024-12-30T17:28:00+00:00,413,1742
trade,2025-01-02,NVDA,Long,2025-01-02T15:58:00+00:00,2025-01-02T15:59:00+00:00,137.5462,137.3638,2.18,-0.40,-0.001327,60000,SessionClose,0.1508,0.1271,0.1353,0.0239,0.4097,-0.0612,0.0239,0.3963,,,
summary,2025-01-02,NVDA,,,,,,,-0.40,,1,,,,,,,,,,1.0000,2024-12-30T14:38:00+00:00,1130,2290
summary,2025-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6498,2024-12-30T15:44:00+00:00,528,1543
summary,2025-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4820,2025-01-02T09:15:00+00:00,927,1934
summary,2025-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5278,2025-01-02T09:09:00+00:00,972,1988
summary,2025-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4441,2025-01-02T09:23:00+00:00,71,1837
summary,2025-01-03,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9004,2024-12-31T15:27:00+00:00,1528,2301
summary,2025-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5202,2025-01-02T09:07:00+00:00,497,1569
trade,2025-01-06,SPY,Long,2025-01-06T15:58:00+00:00,2025-01-06T15:59:00+00:00,599.0947,598.7253,0.50,-0.19,-0.000617,60000,SessionClose,0.1814,0.1848,0.0258,0.0573,0.4817,0.0595,0.0573,0.4817,,,
summary,2025-01-06,SPY,,,,,,,-0.19,,1,,,,,,,,,,0.7443,2025-01-03T16:03:00+00:00,957,1171
