row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
trade,2026-09-24,AMZN,Short,2026-09-24T13:36:00+00:00,2026-09-24T14:27:00+00:00,247.0209,247.1256,12.00,-1.26,-0.000424,3060000,BreakevenStop,window:5m thrust short,hammer,-0.4028,0.0327,-0.1548,-0.5043,-0.2827,0.5663,0.0912,-0.2622,,,
summary,2026-09-24,AMZN,,,,,,,-1.26,,1,,,,,,,,,,,,0.8334,2026-09-17T13:30:00+00:00,1794,2730
summary,2026-09-24,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.8111,2026-09-16T13:40:00+00:00,1675,2730
trade,2026-09-24,NVDA,Short,2026-09-24T13:36:00+00:00,2026-09-24T14:17:00+00:00,222.1583,222.2716,13.00,-1.47,-0.000510,2460000,MaxHoldTimeout,window:5m thrust short,bullish_engulfing,-0.3793,-0.1998,-0.3334,-0.5363,-0.0804,0.1856,-0.3248,-0.0784,,,
summary,2026-09-24,NVDA,,,,,,,-1.47,,1,,,,,,,,,,,,0.9566,2026-09-16T15:00:00+00:00,2137,2730
trade,2026-09-24,MSFT,Short,2026-09-24T13:50:00+00:00,2026-09-24T14:31:00+00:00,492.5072,493.8381,6.00,-7.99,-0.002702,2460000,MaxHoldTimeout,window:5m thrust short,hammer,-0.5350,-0.1491,-0.0676,-0.7741,-0.2125,-0.2849,-0.1116,-0.1786,,,
summary,2026-09-24,MSFT,,,,,,,-7.99,,1,,,,,,,,,,,,0.9442,2026-09-16T13:40:00+00:00,1796,2730
