row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
trade,2026-09-23,AMZN,Short,2026-09-23T13:38:00+00:00,2026-09-23T15:09:00+00:00,252.0194,250.6901,11.00,14.62,0.005275,5460000,MaxHoldTimeout,window:5m thrust short,hammer,-0.3899,0.1591,-0.3449,-0.5765,-0.0315,0.3070,0.2925,-0.1569,,,
summary,2026-09-23,AMZN,,,,,,,14.62,,1,,,,,,,,,,,,0.7610,2026-09-17T13:30:00+00:00,1531,2730
summary,2026-09-23,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.7397,2026-09-16T13:40:00+00:00,1899,2730
summary,2026-09-23,NVDA,,,,,,,0.00,,0,,,,,,,,,,,,0.7132,2026-09-17T13:41:00+00:00,2035,2730
summary,2026-09-23,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,1.0000,2026-09-15T13:38:00+00:00,1392,2730
